Rank,title,AuthorName,Language,Price_normal,Id
3418,Nietzsche: Værker 1886-1888,Preben Lilhav,Dansk,95.19,9788790831271
3419,Læs selv om Korttricks,Pernille Pind,Dansk,24.95,9788792435149
3420,Tvunget til tavshed,Linda Castillo,Dansk,109.95,9788792845122
3421,Den store Lightroom Classic CC bog,Martin Simon,Dansk,139.95,9788793170612
3422,Karolines Store Julekogebog,Karolines Køkken,Dansk,99.95,9788793191181
3423,Word - Microsoft 365,Charlotte Cederstrøm,Dansk,99.95,9788793522213
3424,Excel - Microsoft 365,Charlotte Cederstrøm,Dansk,99.95,9788793522220
3425,Excel udvidet - Microsoft 365,Charlotte Cederstrøm,Dansk,99.95,9788793522244
3426,Antikaos: Thriller #3 i Mirrin Bank-trilogien,Johan Ottosen,Dansk,139.95,9788794013079
3427,Lær at male,Mia-Nelle Drøschler,Dansk,169.95,9788794360814
3428,Gerda,Ejler Nyhavn,Dansk,94.95,9788799461608
3429,Kan man bide fra sig - uden tænder?,Dorte Bredgaard,Dansk,134.95,9788799512515
3430,Erotik og sex: De grå sider 1,rapport Publishing,Engelsk,39.95,9788799596201
3431,Det beskidte arbejde,Christina Larsson,Dansk,129.95,9789180346856
3432,Stormfulde højder,Emily Brontë,Dansk,79.95,9788702178142
3433,Et spørgsmål om magt,Peter Loft,Dansk,129.95,9788775740383
3434,Mount København,Kaspar Colling Nielsen,Dansk,49.95,9788702098129
3435,Træfpunkt,Tønnes Hilden,Dansk,75.0,9788799692200
3436,Mein Kampf,Adolf Hitler,Engelsk,25.23,9789380914855
3437,Vendepunkter,Per Schultz Jørgensen,Dansk,94.95,9788774675402
3438,Den lille prins,Antoine de Saint-Exupéry,Dansk,89.95,9788771554168
3439,Hvad er et menneske?,Svend Brinkmann,Dansk,79.95,9788702265262
3440,Fasandræberne,Jussi Adler-Olsen,Dansk,139.95,9788740006278
3441,Generationskontrakten,Martin Lidegaard,Dansk,169.95,9788727116884
3442,Mørketal,Arne Dahl,Dansk,89.95,9788770536783
3443,Himmeløje,Arne Dahl,Dansk,89.95,9788770536806
3444,Elleve,Arne Dahl,Dansk,89.95,9788770536813
3445,War on the West,Douglas Murray,Engelsk,74.95,9780008492816
3446,Five Survive,Holly Jackson,Engelsk,64.95,9780008507275
3447,Darcy's Story,Janet Aylmer,Engelsk,74.95,9780061841798
3448,Secretly Yours,Tessa Bailey,Engelsk,29.95,9780063238992
3449,Unfortunately Yours,Tessa Bailey,Engelsk,29.95,9780063239043
3450,Yellow Wall-Paper,Charlotte Perkins Gilman,Engelsk,34.95,9780141397436
3451,Passing,Nella Larsen,Engelsk,65.14,9780141995250
3452,Flush,Virginia Woolf,Engelsk,29.95,9780241251492
3453,Bandits,Eric Hobsbawm,Engelsk,37.19,9780297865315
3454,Lifeprints,Richard Unger,Engelsk,84.95,9780399582967
3455,Baking Bible,Rose Levy Beranbaum,Engelsk,204.94,9780544188365
3456,Red Seas Under Red Skies,Scott Lynch,Engelsk,41.25,9780553903584
3457,Doomsday Book,Connie Willis,Engelsk,9.95,9780575131101
3458,One True Loves,Taylor Jenkins Reid,Engelsk,56.94,9781398516694
3459,Built to Move,Kelly Starrett,Engelsk,74.95,9781398708709
3460,Livid,Patricia Cornwell,Engelsk,94.95,9781408725832
3461,Jane Austen's Northanger Abbey,Jane Austen,Engelsk,37.19,9781444950700
3462,The Sunshine Cruise Company,John Niven,Engelsk,65.14,9781448136384
3463,Travelling Cat Chronicles,Hiro Arikawa,Engelsk,84.95,9781473541573
3464,Once Upon a River,Diane Setterfield,Engelsk,65.14,9781473555815
3465,There's No Such Thing as an Easy Job,Tsumura Kikuko Tsumura,Engelsk,94.98,9781526622235
3466,Carrie Soto Is Back,Taylor Jenkins Reid,Engelsk,65.14,9781529152142
3467,Active Measures,Thomas Rid,Engelsk,96.53,9781782834601
3468,Mini Amigurumi Animals,Sarah Abbondio,Engelsk,69.95,9781800930179
3469,The Identity Trap,Yascha Mounk,Engelsk,169.95,9781802062878
3470,Book of Unconformities,Hugh Raffles,Engelsk,119.95,9781891241741
3471,TOPTRIMMET på 12 uger,Anne Bech,Dansk,49.95,9788702162202
3472,Knogler i sandet,Conn Iggulden,Dansk,79.95,9788702162677
3473,Strategisk sundhed på arbejdspladsen,Mads Andreasen,Dansk,84.95,9788702165289
3474,Tab dig hvor du vil,Anne Bech,Dansk,49.95,9788702166309
3475,Den letteste vej til proteinkuren,Gitte Heidi Rasmussen,Dansk,49.95,9788702171860
3476,Vilhelms værelse,Tove Ditlevsen,Dansk,49.95,9788702172850
3477,Ode til blæksprutten og andre kærlighedsdigte,Henrik Nordbrandt,Dansk,49.95,9788702180695
3478,Spis dig FIT,Anne Bech,Dansk,49.95,9788702183092
3479,Grønne grænser,Ester Bock,Dansk,79.95,9788702206531
3480,Længdespring,Ester Bock,Dansk,79.95,9788702206692
3481,Flyv fugl,Ester Bock,Dansk,79.95,9788702206708
3482,Mens graven kastes,Ester Bock,Dansk,79.95,9788702206722
3483,Vokslys,Ester Bock,Dansk,79.95,9788702207118
3484,Tonefald,Ester Bock,Dansk,79.95,9788702207125
3485,Cæsar,Adrian Goldsworthy,Dansk,49.95,9788702225860
